,Time,$N$,$E$,$D$,$\phi$,$\theta$,$\psi$,$u$,$v$,$w$,$p$,$q$,$r$,$\eta$,$\delta_r$,$\delta_s$,$\tilde{u}$,$\tilde{\chi}$,e,$\tilde{\upsilon}$,h,$u_c$,$v_c$,$w_c$
919,92.0,108.75305017370451,-17.69248965747572,30.09568470727754,-0.0010411842154485207,-0.7661240718078419,-1.5726786159657322,1.500248345374635,0.01568744766826699,-0.049020649618888676,-0.027535199943257992,-0.02148747413247021,-0.03021858092814503,9.753889525158511,0.0164487441127181,0.062037953142605115,-0.00011077854642216334,0.20414751581656623,13.885986265846018,0.2479597045516174,-9.412931818232739,-0.4753463957319577,0.2967564439546938,-0.22708539223687457
920,92.10000000000001,108.78394319145161,-17.785376591177833,30.146968522000048,-0.0008892986107400525,-0.7682759643667776,-1.5768690195129744,1.5002722006369942,0.015140861830087294,-0.04891357252415528,-0.027062754338456174,-0.021116270688197512,-0.029254243833839098,9.753253726570076,0.015949396709615954,0.06193998775926024,-0.00012417268731745867,0.20275587697498346,13.8385124953565,0.24736356026655562,-9.413652400975234,-0.4757470989612299,0.29527577311150766,-0.22472765901385555
921,92.2,108.81430510737817,-17.878052579339467,30.198520380054454,-0.0007704678606348381,-0.770390192176102,-1.5809345259293444,1.5002890758692011,0.01458829625000711,-0.048757223745594,-0.026787003108361164,-0.02035668532791868,-0.028047155062526256,9.752633942228204,0.015161533844065258,0.06142501289653579,-0.00013610031849708992,0.2013176272408692,13.790996952692225,0.2466916387162344,-9.41390962949751,-0.47693622757890075,0.29434235462193525,-0.22280595918570717
922,92.30000000000001,108.84408137824853,-17.97055836753914,30.25045439836982,-0.000728923038027407,-0.7724280210476282,-1.584840593327996,1.5003076541766605,0.014047381287157918,-0.04856977190180807,-0.026240969308923567,-0.01960060680491674,-0.026917225893898868,9.752094159314645,0.01450876481342772,0.06101892218151189,-0.00014453793460056374,0.20010795988516727,13.743495011336876,0.24622275546233385,-9.41380524227089,-0.47695549097300094,0.2927448358615741,-0.22039637832367734
923,92.4,108.87338990492104,-18.062835352496624,30.302601141130022,-0.0007316240544974484,-0.7743900432658353,-1.5885968406208208,1.500328287229873,0.01352887717652765,-0.0483719204789894,-0.025381255253036594,-0.018933780802908338,-0.025903701331720583,9.75151102612472,0.013959218100254226,0.06071758949157273,-0.0001538270883302273,0.19868092433092677,13.695952802228428,0.24550511490148796,-9.41322907587913,-0.4784963822790089,0.2921631296975686,-0.21876577472623587
924,92.5,108.9022453462799,-18.154891700772442,30.35496181082284,-0.0007371467039409829,-0.7762853160163186,-1.5922185690079098,1.5003491065518717,0.01303337373501932,-0.04817168537407045,-0.02436298250155782,-0.01831316621864898,-0.024965187194569752,9.750877461788377,0.013454880619263039,0.060446340523672856,-0.0001641436149365516,0.1976692812245787,13.648465144220335,0.2451908356525938,-9.412361450893545,-0.4798936315226817,0.2915597993882461,-0.21714410789039693
925,92.60000000000001,108.93059964260931,-18.24677386751148,30.407639826302287,-0.0007233435950970701,-0.7781184724410068,-1.5957155477722311,1.5003695486384727,0.012561737639982263,-0.04797808931427738,-0.02333114396721497,-0.01776155906175645,-0.024096779013480885,9.750219429400932,0.012998102404695492,0.060234943943708416,-0.00017455327593585146,0.19668320599857927,13.601032407716936,0.24488075859416375,-9.41121003305651,-0.48015462448479446,0.29032039137304105,-0.21509037406389742
926,92.7,108.95858455323716,-18.338414630898303,30.460437259666058,-0.0006828773930234178,-0.7798963709074411,-1.5990970029757368,1.5003887510563565,0.01211434107758543,-0.04779784474139925,-0.022395852532246234,-0.017284111684800613,-0.023290140459736673,9.749545214118122,0.012580055300360344,0.060079799828526445,-0.00018477431923635823,0.19548697192741415,13.553599247780435,0.24434201804149047,-9.409678701756116,-0.4822338655261275,0.2902238144727922,-0.2139303123878104
927,92.80000000000001,108.98617748952474,-18.429843333249384,30.513411742320876,-0.0006201040476874198,-0.7816263721038399,-1.602371092554611,1.5004053668484059,0.011688183810736216,-0.047628374430201396,-0.02162192727057681,-0.016826872669182074,-0.02251474227548327,9.748868191658577,0.012169604552934435,0.05991979905118696,-0.00019437552817824777,0.19476028479528645,13.50627248038058,0.24426708888133056,-9.407974940475796,-0.48363513908537753,0.2897538646948385,-0.21253854303329864
928,92.9,109.01345303920142,-18.521026382526546,30.566457785167636,-0.0005487790178397844,-0.7833104551954291,-1.6055417452234788,1.5004196446944822,0.011284541055880226,-0.04747340337210715,-0.02097848582016589,-0.016427016464934503,-0.021788079342839654,9.748209935379059,0.011793062236670471,0.059807649499518695,-0.00020268342420293184,0.19392026740059992,13.459020298197629,0.24406737779278,-9.406047801257301,-0.48597603088231967,0.28987822951188724,-0.21161956755168557
929,93.0,109.04041267169086,-18.61197625359923,30.61959087172683,-0.00047779620656163146,-0.784954352278584,-1.608615359497656,1.5004308567774123,0.010902114179007352,-0.047331676873132694,-0.02043703821688805,-0.016057925830194907,-0.0210958045089371,9.747569418604783,0.011430873707935356,0.05970532565624133,-0.00020982234724109539,0.19333921028064854,13.411899670216103,0.24411878943496954,-9.404009863691464,-0.48806832042629594,0.28988531545291335,-0.2106430155631758
930,93.10000000000001,109.06698989701091,-18.702747100063174,30.67293878394171,-0.0004145580587682218,-0.7865611526278093,-1.611596348695719,1.5004390540148136,0.010541055224315747,-0.047204800254154376,-0.019946990094368407,-0.0157355297187455,-0.02044498516378913,9.746960049827479,0.0110942177329671,0.05963628532511219,-0.00021542838870614034,0.19273983245730436,13.364901681243477,0.24414238409481584,-9.401851686765074,-0.488807924676921,0.28912314226019636,-0.20913159508813628
931,93.2,109.09317836551561,-18.793354735588043,30.726528399562216,-0.000360651577385962,-0.7881355530277814,-1.614490150861789,1.5004392922178729,0.010098380181744854,-0.04702718469816683,-0.01991420101628321,-0.01496187566504192,-0.019085264028851082,9.746384281788306,0.009988250038630287,0.059069873119650736,-0.00021952700740679454,0.19186404003153942,13.317957070808383,0.2438819214735927,-9.399450799515947,-0.4891926707818083,0.2881889906542217,-0.20751809256427725
